Fecha Actual,Codigo Marzam,Descripcion,Precio Farmacia,Precio Publico,% IVA,% IEPS,Impuesto 3,Tipo de Producto,Laboratorio,Clasificacion Fiscal,Descripcion Terapeutica,Sustancia Activa,Refrigerado,Controlado,Codigo de Barras,Unidad de Venta,Fecha de Caducidad,Grupo SSA,Accion Sobre Articulo,Pzas. Empaque Original,Descuento Comercial %,Codigo SAT, Unidad SAT,Contador
20180307,000001001,3A OFT GTS 5ML                          ,0000434.36,0000553.99,000.00,000.00,000.00,ET,SOPHIA COMERCIAL  S.A DE C.V            ,B ,Antiinfecc  Oft?lmicos No Este          ,DICLOFENACO SODICO                      , , , 736085400892,PZA,19000101,4 ,C,0020,001.01,51142104  , H87,00001
20180307,002750501,3TC 150MG TAB C60                       ,0003901.56,0004064.12,000.00,000.00,000.00,ET,GLAXOSMITHKLINE MEXICO  S.A. D          ,N ,Antiepil?pticos                         ,LAMIVUDINA                              , , ,7501043161602,PZA,19000101,4 ,C,0010,000.00,51102310  , H87,00002
20180307,003400817,A CETILSALICIL 100MG TAB C30            ,0000023.47,0000099.00,000.00,000.00,000.00,ET,ULTRA LABORATORIOS S A DE C V           ,N ,Analg?sicos No Narc?ticos Anti          ,ACETILSALICILICO ACIDO                  , , ,7502216798373,PZA,19000101,4 ,C,0001,000.00,51142002  , H87,00003
20180307,000010301,AB LIFE CAPS C30                        ,0000387.50,0000598.00,016.00,000.00,000.00,VA,ARMSTRONG LAB. DE MEXICO S.A.D          ,FA,Reductores Trigliceridos y Col          ,LACTOBACILOS ACIDOFILOS                 , , ,7501089803429,PZA,19000101,9 ,C,0010,000.00,51191900  , H87,00004
20180307,000008501,ABATELENGUAS DAMACO MADERA C25          ,0000012.06,0000017.75,016.00,000.00,000.00,VA,DAMACO CORPORATIVO  S.A. DE C.          ,NA,Abatelenguas                            ,                                        , , ,7501507510403,PZA,19000101,9 ,C,0010,000.00,42181501  , H87,00005
20180307,003400509,ABATELENGUAS MAD 25 PZA                 ,0000007.89,0000017.00,016.00,000.00,000.00,PF,DEPOFARMA S A                           ,NA,Abatelenguas                            ,MATERIAL CURACION GENERICOS             , , ,7506272401932,PZA,19000101,8 ,C,0001,000.00,42312400  , H87,00006
20180307,000008007,ABATELENGUAS MADERA DEGASA C25          ,0000005.13,0000006.26,016.00,000.00,000.00,MC,DEGASA  S.A. DE C.V.                    ,NA,Abatelenguas                            ,                                        , , ,7501281200101,PZA,19000101,7 ,C,0020,000.00,42181501  , H87,00007
20180307,000008003,ABATELENGUAS ROGER ESCOLAR C10          ,0000003.25,0000004.17,016.00,000.00,000.00,MC,ISRAEL CALVO VILLEGAS                   ,NA,Abatelenguas                            ,                                        , , ,7502012980552,PZA,19000101,7 ,C,0010,000.00,42181501  , H87,00008
20180307,000008006,ABATELENGUAS ROGER MAD SOB C25          ,0000007.58,0000009.71,016.00,000.00,000.00,MC,ISRAEL CALVO VILLEGAS                   ,NA,Abatelenguas                            ,                                        , , ,7502012981542,PZA,19000101,7 ,C,0012,000.00,42181501  , H87,00009
20180307,000009002,ABBATIN 10MG TAB MAST C20               ,0000568.80,0000711.00,000.00,000.00,000.00,ET,CORPORACION OPERADORA DE REPRE          ,B ,Antiasma Antileucotrieno                ,MONTELUKAST SODICO                      , , ,7502242700074,PZA,19000101,4 ,C,0010,001.01,51161515  , H87,00010
20180307,000009003,ABBATIN 10MG TAB MAST C30               ,0000616.80,0000771.00,000.00,000.00,000.00,ET,CORPORACION OPERADORA DE REPRE          ,B ,Antiasma Antileucotrieno                ,MONTELUKAST SODICO                      , , ,7502242700081,PZA,19000101,4 ,C,0010,001.01,51161515  , H87,00011
20180307,000009001,ABBATIN 5MG TAB MAST C20                ,0000422.40,0000528.00,000.00,000.00,000.00,ET,CORPORACION OPERADORA DE REPRE          ,B ,Antiasma Antileucotrieno                ,MONTELUKAST SODICO                      , , ,7502242700180,PZA,19000101,4 ,C,0010,001.01,51161515  , H87,00012
20180307,000011002,ABRETIA 30MG CAP C14                    ,0000333.13,0000533.00,000.00,000.00,000.00,ET,SIEGFRIED RHEIN S.A. DE C.V.            ,F ,Antidepresivos Timoanalepticos          ,DULOXETINA CLORHIDRATO DE               , , ,7501300420121,PZA,19000101,4 ,C,0010,000.00,51141600  , H87,00013
20180307,000011001,ABRETIA 30MG CAP C7                     ,0000173.13,0000277.00,000.00,000.00,000.00,ET,SIEGFRIED RHEIN S.A. DE C.V.            ,F ,Antidepresivos Timoanalepticos          ,DULOXETINA CLORHIDRATO DE               , , ,7501300420114,PZA,19000101,4 ,C,0010,000.00,51141600  , H87,00014
20180307,000011003,ABRETIA 60MG CAP C14                    ,0000366.25,0000586.00,000.00,000.00,000.00,ET,SIEGFRIED RHEIN S.A. DE C.V.            ,F ,Antidepresivos Timoanalepticos          ,DULOXETINA CLORHIDRATO DE               , , ,7501300420138,PZA,19000101,4 ,C,0010,000.00,51141600  , H87,00015
20180307,000011701,ABRIXONE 500MG TAB C10                  ,0000372.40,0000532.00,000.00,000.00,000.00,ET,LABORATORIOS SANFER  S.A. DE C          ,F ,Hematoprotector Lipotropicos            ,METADOXINA                              , , ,7503007315311,PZA,19000101,4 ,C,0010,000.00,51251000  , H87,00016
20180307,003401119,AC ACETILSAL 300MG TAB C20              ,0000011.26,0000026.00,000.00,000.00,000.00,ET,ANTIBIOTICOS DE MEXICO  SA DE           ,N ,Corticoides                             ,ACETILSALICILICO ACIDO                  , , ,7501349020115,PZA,19000101,4 ,C,0001,000.00,51101500  , H87,00017
20180307,000013601,AC HIG BACAL GELCAPS PERL C100          ,0000072.85,0000094.00,016.00,000.00,000.00,VA,GELCAPS EXPORTADORA DE MEXICO           ,BA,Vitam?nicos Naturales                   ,                                        , , ,7501130711277,PZA,19000101,9 ,C,0010,001.01,50151604  , H87,00018
20180307,000012001,ACANOL 2MG CPR C12                      ,0000128.98,0000184.82,000.00,000.00,000.00,ET,SANOFI AVENTIS WINTHROP  S.A.           ,F ,Inhibidores Motilidad                   ,LOPERAMIDA  CLORHIDRATO DE              , , ,7501328978710,PZA,19000101,4 ,C,0010,000.00,51171702  , H87,00019
20180307,003400924,ACARBOSA 100MG TAB C30                  ,0000060.00,0000250.00,000.00,000.00,000.00,ET,LABORATORIOS ALPHARMA  S.A. DE          ,N ,Analg?sicos No Narc?ticos Anti          ,ACARBOSA                                , , ,7502226292410,PZA,19000101,4 ,C,0001,000.00,51181501  , H87,00020
20180307,003400923,ACARBOSA 50MG TAB C30                   ,0000046.84,0000200.00,000.00,000.00,000.00,ET,LABORATORIOS ALPHARMA  S.A. DE          ,N ,Analg?sicos No Narc?ticos Anti          ,ACARBOSA                                , , ,7503004908875,PZA,19000101,4 ,C,0001,000.00,51181501  , H87,00021
